CollectionIdentifier	Title	Subject
IWA0110	"Professional Women's League (Des Moines, Iowa) records"	Des Moines (Iowa)
IWA0111	Betty Jean Furgerson papers	Waterloo (Iowa)
IWA0112	Elizabeth R. Miller papers	Marshalltown (Iowa)
IWA0113	"Daughters of Ceres (Walnut and Webster, Iowa) records"	Des Moines (Iowa)
IWA0113	"Daughters of Ceres (Walnut and Webster, Iowa) records"	Walnut (Iowa)
IWA0113	"Daughters of Ceres (Walnut and Webster, Iowa) records"	Webster (Iowa)
IWA0114	Rosemary Tharp papers	Iowa City (Iowa)
IWA0114	Rosemary Tharp papers	Waterloo (Iowa)
IWA0114	Rosemary Tharp papers	Cedar Falls (Iowa)
IWA0114	Rosemary Tharp papers	Kanawha (Iowa)
IWA0115	Virginia Randolph papers	Anamosa (Iowa)
IWA0116	Marion Cox Lichty papers	Washington (D.C.)
IWA0116	Marion Cox Lichty papers	Dayton (Ohio)
IWA0116	Marion Cox Lichty papers	Fort Hays (Ohio)
IWA0116	Marion Cox Lichty papers	Waterloo (Iowa)
IWA0117	Dorothy and Warren Wirtz papers	Iowa City (Iowa)
IWA0118	Lena Belle Bock papers	Garner (Iowa)
IWA0118	Lena Belle Bock papers	Hancock County (Iowa)
IWA0119	Sarah Alien Longchamp papers	Iowa City (Iowa)
IWA0119	Sarah Alien Longchamp papers	Europe
IWA0119	Sarah Alien Longchamp papers	Ida Grove (Iowa)
IWA0120	"Sisters of St. Francis (Bancroft, Iowa) records"	Bancroft (Iowa)
IWA0121	Marie Schultz Meyer papers	Postville (Iowa)
IWA0122	Gretchen Harshbarger papers	Iowa City (Iowa)
IWA0122	Gretchen Harshbarger papers	Shenandoah (Iowa)
IWA0123	Ruth Salzmann Becker papers	Iowa City (Iowa)
IWA0123	Ruth Salzmann Becker papers	New York (N.Y.)
IWA0123	Ruth Salzmann Becker papers	"Wittenberg (Saxony-Anhalt, Germany)"
IWA0123	Ruth Salzmann Becker papers	Berlin (Germany)
IWA0123	Ruth Salzmann Becker papers	Germany
IWA0124	Walling Family letters	Oskaloosa (Iowa)
IWA0124	Walling Family letters	Tulsa (Okla.)
IWA0125	Janis Torrence-Laughlin papers	Muscatine (Iowa)
IWA0125	Janis Torrence-Laughlin papers	Wilton (Iowa)
IWA0126	Evelyn Birkby Collection of Radio Homemaker Materials	Shenandoah (Iowa)
IWA0127	Carrie Kelly Beatty papers	Cedar Rapids (Iowa)
IWA0127	Carrie Kelly Beatty papers	Hancock County (Iowa)
IWA0129	Jane Alison Weiss papers	Iowa City (Iowa)
IWA0131	Lucille Ketchum Carter papers	Iowa
IWA0131	Lucille Ketchum Carter papers	Washington (D.C.)
IWA0131	Lucille Ketchum Carter papers	Leon (Iowa)
IWA0131	Lucille Ketchum Carter papers	Downing (Mo.)
IWA0132	Marion Carson papers	Iowa
IWA0132	Marion Carson papers	Marion (Iowa)
IWA0132	Marion Carson papers	Cedar Rapids (Iowa)
IWA0132	Marion Carson papers	Dubuque (Iowa)
IWA0132	Marion Carson papers	Ames (Iowa)
IWA0133	Jessie Field Shambaugh papers	Page County (Iowa)
IWA0133	Jessie Field Shambaugh papers	Shenandoah (Iowa)
IWA0134	Her Own Story: Ten Benton County Women	Vinton (Iowa)
IWA0134	Her Own Story: Ten Benton County Women	Benton County (Iowa)
IWA0134	Her Own Story: Ten Benton County Women	Red Oak (Iowa)
IWA0135	Eve Drewelowe papers	Boulder (Colo.)
IWA0136	Bettie McKenzie papers	Benton County (Iowa)
IWA0136	Bettie McKenzie papers	Red Oak (Iowa)
IWA0136	Bettie McKenzie papers	Montgomery County (Iowa)
IWA0137	Verda Williams papers	Des Moines (Iowa)
IWA0138	Johnson County ERA Coalition records	Iowa
IWA0138	Johnson County ERA Coalition records	Johnson County (Iowa)
IWA0139	Edythe Stirlen papers	Shenandoah (Iowa)
IWA0140	Sarah C. Taylor papers	Hamburg (Iowa)
IWA0141	Lola Jean McNall papers	Iowa City (Iowa)
IWA0141	Lola Jean McNall papers	Hamburg (Iowa)
IWA0142	Helen Lee Hensleigh Wenger papers	Tarkio (Mo.)
IWA0142	Helen Lee Hensleigh Wenger papers	Page County (Iowa)
IWA0142	Helen Lee Hensleigh Wenger papers	Kingsville (Tex.)
IWA0142	Helen Lee Hensleigh Wenger papers	Raleigh (N.C.)
IWA0142	Helen Lee Hensleigh Wenger papers	Seneca (Kan.)
IWA0142	Helen Lee Hensleigh Wenger papers	Iowa City (Iowa)
IWA0142	Helen Lee Hensleigh Wenger papers	Hamburg (Iowa)
IWA0143	Margaret McCollum papers	Des Moines (Iowa)
IWA0144	Maria Margaretha Kromminga papers	Jones County (Iowa)
IWA0144	Maria Margaretha Kromminga papers	Monticello (Iowa)
IWA0145	Verna Moulton Spencer papers	Iowa City (Iowa)
IWA0145	Verna Moulton Spencer papers	Maquoketa (Iowa)
IWA0146	Abbie Romey papers	Iowa City (Iowa)
IWA0146	Abbie Romey papers	Mason City (Iowa)
IWA0147	Patricia Filipowska papers	Burlington (Iowa)
IWA0147	Patricia Filipowska papers	Lexington (Mass.)
IWA0149	Janice A. Beran papers	Iowa
IWA0150	Dorothy S. Grant papers	Iowa
IWA0150	Dorothy S. Grant papers	Cedar Falls (Iowa)
IWA0150	Dorothy S. Grant papers	Iran
IWA0150	Dorothy S. Grant papers	Osseo (Minn.)
IWA0150	Dorothy S. Grant papers	Minneapolis (Minn.)
IWA0152	American Business Women's Association records	Iowa City (Iowa)
IWA0152	American Business Women's Association records	Iowa
IWA0153	Betty Jean Clark papers	Des Moines (Iowa)
IWA0153	Betty Jean Clark papers	Rockwell (Iowa)
IWA0153	Betty Jean Clark papers	Mason City (Iowa)
IWA0153	Betty Jean Clark papers	Iowa
IWA0155	Percival Needlecrafters scrapbooks	Percival (Iowa)
IWA0156	Denise O'Brien papers	Atlantic (Iowa)
IWA0156	Denise O'Brien papers	Cass County (Iowa)
IWA0157	"The Recital Club (Garner, Iowa) records"	Garner (Iowa)
IWA0158	Mildred H. Lavin papers	Iowa City (Iowa)
